"level4_cod";"scientificName";"SSBS";"Best_guess_binomial";"Reference";"SSS";"Diversity_metric_type";"Study_common_taxon";"Predominant_land_use";"Use_intensity";"Km_to_nearest_edge_of_habitat";"Longitude";"Latitude";"Taxon";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species";"Higher_taxon";"Measurement";"Effort_corrected_measurement";"exist";"note";"status_p";"status.g";"pg"
"BOR-SB";"Dolichoderus sulcaticeps";"SH1_2001__Floren 1 MK Sorinsim 32";"Dolichoderus sulcaticeps";"Floren et al. 2001";"SH1_2001__Floren 1 32";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Cannot decide";NA;116.734569444444;6.31723055555556;"Dolichoderus sulcaticeps";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Dolichoderus";"sulcaticeps";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Dolichoderus sulcaticeps";"SH1_2001__Floren 1 MK Sorinsim 40";"Dolichoderus sulcaticeps";"Floren et al. 2001";"SH1_2001__Floren 1 40";"Abundance";"Formicidae";"Intermediate secondary vegetation";"Cannot decide";NA;116.733827777778;6.31794444444444;"Dolichoderus sulcaticeps";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Dolichoderus";"sulcaticeps";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Lophomyrmex bedoti";"SH1_2001__Floren 1 MK Poring 19";"Lophomyrmex bedoti";"Floren et al. 2001";"SH1_2001__Floren 1 19";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.696080555556;6.04732222222222;"Lophomyrmex bedoti";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lophomyrmex";"bedoti";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Lophomyrmex bedoti";"SH1_2001__Floren 1 MK Poring 7";"Lophomyrmex bedoti";"Floren et al. 2001";"SH1_2001__Floren 1 7";"Abundance";"Formicidae";"Primary vegetation";"Minimal use";NA;116.697536111111;6.04693333333333;"Lophomyrmex bedoti";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lophomyrmex";"bedoti";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Lophomyrmex bedoti";"SH1_2001__Floren 1 MK Sorinsim 21";"Lophomyrmex bedoti";"Floren et al. 2001";"SH1_2001__Floren 1 21";"Abundance";"Formicidae";"Young secondary vegetation";"Cannot decide";NA;116.713413888889;6.279625;"Lophomyrmex bedoti";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lophomyrmex";"bedoti";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Lophomyrmex bedoti";"SH1_2001__Floren 1 MK Sorinsim 22";"Lophomyrmex bedoti";"Floren et al. 2001";"SH1_2001__Floren 1 22";"Abundance";"Formicidae";"Young secondary vegetation";"Cannot decide";NA;116.713319444444;6.28065833333333;"Lophomyrmex bedoti";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lophomyrmex";"bedoti";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Lophomyrmex bedoti";"SH1_2001__Floren 1 MK Sorinsim 41";"Lophomyrmex bedoti";"Floren et al. 2001";"SH1_2001__Floren 1 41";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.701233333333;6.28313333333333;"Lophomyrmex bedoti";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lophomyrmex";"bedoti";"Hymenoptera";4;4;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Lophomyrmex bedoti";"SH1_2001__Floren 1 MK Sorinsim 46";"Lophomyrmex bedoti";"Floren et al. 2001";"SH1_2001__Floren 1 46";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.700177777778;6.281875;"Lophomyrmex bedoti";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lophomyrmex";"bedoti";"Hymenoptera";1;1;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Lophomyrmex bedoti";"SH1_2001__Floren 1 MK Sorinsim 49";"Lophomyrmex bedoti";"Floren et al. 2001";"SH1_2001__Floren 1 49";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.700780555556;6.28098333333333;"Lophomyrmex bedoti";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lophomyrmex";"bedoti";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
"BOR-SB";"Lophomyrmex bedoti";"SH1_2001__Floren 1 MK Sorinsim 50";"Lophomyrmex bedoti";"Floren et al. 2001";"SH1_2001__Floren 1 50";"Abundance";"Formicidae";"Mature secondary vegetation";"Cannot decide";NA;116.700638888889;6.28099166666667;"Lophomyrmex bedoti";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Lophomyrmex";"bedoti";"Hymenoptera";2;2;"exact";NA;"predicts";NA;"predicts_NA"
